Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
Kilo,2016-04-17 08:36:00,P,0,2016-04-17 08:41:00,P,0,5,5,12,10,10003,1,1|1
Juliet,2016-04-17 08:53:00,P,0,2016-04-17 08:58:00,P,0,5,5,12,10,10003,1,1|1
India,2016-04-17 09:10:00,P,0,2016-04-17 09:15:00,P,0,5,5,12,10,10003,1,1|1
Hotel,2016-04-17 09:27:00,P,0,2016-04-17 09:32:00,P,0,5,5,12,10,10003,1,1|1
Golf,2016-04-17 09:44:00,P,0,2016-04-17 09:49:00,P,0,5,5,12,10,10003,1,1|1
Foxtrot,2016-04-17 10:01:00,P,0,2016-04-17 10:06:00,P,0,5,5,12,10,10003,1,1|1
Echo,2016-04-17 10:18:00,P,0,2016-04-17 10:23:00,P,0,5,5,12,10,10003,1,1|1
Delta,2016-04-17 10:35:00,P,0,2016-04-17 10:40:00,P,0,5,5,12,10,10003,1,1|1
Charlie,2016-04-17 10:52:00,P,0,2016-04-17 10:57:00,P,0,5,5,12,10,10003,1,1|1
Bravo,2016-04-17 11:09:00,P,0,2016-04-17 11:14:00,P,0,5,5,12,10,10003,1,1|1
Alpha,2016-04-17 11:26:00,P,0,2016-04-17 11:31:00,P,0,5,5,0,0,10003,1,1|1
Alpha,2016-04-17 06:26:00,P,0,2016-04-17 06:31:00,P,0,5,5,12,10,10006,1,1|1
Bravo,2016-04-17 06:43:00,P,0,2016-04-17 06:48:00,P,0,5,5,12,10,10006,1,1|1
Charlie,2016-04-17 07:00:00,P,0,2016-04-17 07:05:00,P,0,5,5,12,10,10006,1,1|1
Delta,2016-04-17 07:17:00,P,0,2016-04-17 07:22:00,P,0,5,5,12,10,10006,1,1|1
Echo,2016-04-17 07:34:00,P,0,2016-04-17 07:39:00,P,0,5,5,12,10,10006,1,1|1
Foxtrot,2016-04-17 07:51:00,P,0,2016-04-17 07:56:00,P,0,5,5,12,10,10006,1,1|1
Golf,2016-04-17 08:08:00,P,0,2016-04-17 08:13:00,P,0,5,5,12,10,10006,1,1|1
Hotel,2016-04-17 08:25:00,P,0,2016-04-17 08:30:00,P,0,5,5,12,10,10006,1,1|1
India,2016-04-17 08:42:00,P,0,2016-04-17 08:47:00,P,0,5,5,12,10,10006,1,1|1
Juliet,2016-04-17 08:59:00,P,0,2016-04-17 09:04:00,P,0,5,5,12,10,10006,1,1|1
Kilo,2016-04-17 09:16:00,P,0,2016-04-17 09:21:00,P,0,5,5,0,0,10006,1,1|1
Alpha,2016-04-17 04:35:00,P,0,2016-04-17 04:40:00,P,0,5,5,12,10,10008,1,1|1
Bravo,2016-04-17 04:52:00,P,0,2016-04-17 04:57:00,P,0,5,5,12,10,10008,1,1|1
Charlie,2016-04-17 05:09:00,P,0,2016-04-17 05:14:00,P,0,5,5,12,10,10008,1,1|1
Delta,2016-04-17 05:26:00,P,0,2016-04-17 05:31:00,P,0,5,5,12,10,10008,1,1|1
Echo,2016-04-17 05:43:00,P,0,2016-04-17 05:48:00,P,0,5,5,12,10,10008,1,1|1
Foxtrot,2016-04-17 06:00:00,P,0,2016-04-17 06:05:00,P,0,5,5,12,10,10008,1,1|1
Golf,2016-04-17 06:17:00,P,0,2016-04-17 06:22:00,P,0,5,5,12,10,10008,1,1|1
Hotel,2016-04-17 06:34:00,P,0,2016-04-17 06:39:00,P,0,5,5,12,10,10008,1,1|1
India,2016-04-17 06:51:00,P,0,2016-04-17 06:56:00,P,0,5,5,12,10,10008,1,1|1
Juliet,2016-04-17 07:08:00,P,0,2016-04-17 07:13:00,P,0,5,5,12,10,10008,1,1|1
Kilo,2016-04-17 07:25:00,P,0,2016-04-17 07:30:00,P,0,5,5,0,0,10008,1,1|1
Kilo,2016-04-16 07:53:00,P,0,2016-04-16 07:58:00,P,0,5,5,12,10,10009,1,1|1
Juliet,2016-04-16 08:10:00,P,0,2016-04-16 08:15:00,P,0,5,5,12,10,10009,1,1|1
India,2016-04-16 08:27:00,P,0,2016-04-16 08:32:00,P,0,5,5,12,10,10009,1,1|1
Hotel,2016-04-16 08:44:00,P,0,2016-04-16 08:49:00,P,0,5,5,12,10,10009,1,1|1
Golf,2016-04-16 09:01:00,P,0,2016-04-16 09:06:00,P,0,5,5,12,10,10009,1,1|1
Foxtrot,2016-04-16 09:18:00,P,0,2016-04-16 09:23:00,P,0,5,5,12,10,10009,1,1|1
Echo,2016-04-16 09:35:00,P,0,2016-04-16 09:40:00,P,0,5,5,12,10,10009,1,1|1
Delta,2016-04-16 09:52:00,P,0,2016-04-16 09:57:00,P,0,5,5,12,10,10009,1,1|1
Charlie,2016-04-16 10:09:00,P,0,2016-04-16 10:14:00,P,0,5,5,12,10,10009,1,1|1
Bravo,2016-04-16 10:26:00,P,0,2016-04-16 10:31:00,P,0,5,5,12,10,10009,1,1|1
Alpha,2016-04-16 10:43:00,P,0,2016-04-16 10:48:00,P,0,5,5,0,0,10009,1,1|1
Alpha,2016-04-16 20:50:00,P,0,2016-04-16 20:55:00,P,0,5,5,12,10,10012,1,1|1
Bravo,2016-04-16 21:07:00,P,0,2016-04-16 21:12:00,P,0,5,5,12,10,10012,1,1|1
Charlie,2016-04-16 21:24:00,P,0,2016-04-16 21:29:00,P,0,5,5,12,10,10012,1,1|1
Delta,2016-04-16 21:41:00,P,0,2016-04-16 21:46:00,P,0,5,5,12,10,10012,1,1|1
Echo,2016-04-16 21:58:00,P,0,2016-04-16 22:03:00,P,0,5,5,12,10,10012,1,1|1
Foxtrot,2016-04-16 22:15:00,P,0,2016-04-16 22:20:00,P,0,5,5,12,10,10012,1,1|1
Golf,2016-04-16 22:32:00,P,0,2016-04-16 22:37:00,P,0,5,5,12,10,10012,1,1|1
Hotel,2016-04-16 22:49:00,P,0,2016-04-16 22:54:00,P,0,5,5,12,10,10012,1,1|1
India,2016-04-16 23:06:00,P,0,2016-04-16 23:11:00,P,0,5,5,12,10,10012,1,1|1
Juliet,2016-04-16 23:23:00,P,0,2016-04-16 23:28:00,P,0,5,5,12,10,10012,1,1|1
Kilo,2016-04-16 23:40:00,P,0,2016-04-16 23:45:00,P,0,5,5,0,0,10012,1,1|1
Kilo,2016-04-17 01:04:00,P,0,2016-04-17 01:09:00,P,0,5,5,12,10,10013,1,1|1
Juliet,2016-04-17 01:21:00,P,0,2016-04-17 01:26:00,P,0,5,5,12,10,10013,1,1|1
India,2016-04-17 01:38:00,P,0,2016-04-17 01:43:00,P,0,5,5,12,10,10013,1,1|1
Hotel,2016-04-17 01:55:00,P,0,2016-04-17 02:00:00,P,0,5,5,12,10,10013,1,1|1
Golf,2016-04-17 02:12:00,P,0,2016-04-17 02:17:00,P,0,5,5,12,10,10013,1,1|1
Foxtrot,2016-04-17 02:29:00,P,0,2016-04-17 02:34:00,P,0,5,5,12,10,10013,1,1|1
Echo,2016-04-17 02:46:00,P,0,2016-04-17 02:51:00,P,0,5,5,12,10,10013,1,1|1
Delta,2016-04-17 03:03:00,P,0,2016-04-17 03:08:00,P,0,5,5,12,10,10013,1,1|1
Charlie,2016-04-17 03:20:00,P,0,2016-04-17 03:25:00,P,0,5,5,12,10,10013,1,1|1
Bravo,2016-04-17 03:37:00,P,0,2016-04-17 03:42:00,P,0,5,5,12,10,10013,1,1|1
Alpha,2016-04-17 03:54:00,P,0,2016-04-17 03:59:00,P,0,5,5,0,0,10013,1,1|1
Alpha,2016-04-16 03:05:00,P,0,2016-04-16 03:10:00,P,0,5,5,12,10,10016,1,1|1
Bravo,2016-04-16 03:22:00,P,0,2016-04-16 03:27:00,P,0,5,5,12,10,10016,1,1|1
Charlie,2016-04-16 03:39:00,P,0,2016-04-16 03:44:00,P,0,5,5,12,10,10016,1,1|1
Delta,2016-04-16 03:56:00,P,0,2016-04-16 04:01:00,P,0,5,5,12,10,10016,1,1|1
Echo,2016-04-16 04:13:00,P,0,2016-04-16 04:18:00,P,0,5,5,12,10,10016,1,1|1
