Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
Kilo,2016-04-17 08:14:00,P,0,2016-04-17 08:19:00,P,0,5,5,12,10,10003,1,1|1
Juliet,2016-04-17 08:31:00,P,0,2016-04-17 08:36:00,P,0,5,5,12,10,10003,1,1|1
India,2016-04-17 08:48:00,P,0,2016-04-17 08:53:00,P,0,5,5,12,10,10003,1,1|1
Hotel,2016-04-17 09:05:00,P,0,2016-04-17 09:10:00,P,0,5,5,12,10,10003,1,1|1
Golf,2016-04-17 09:22:00,P,0,2016-04-17 09:27:00,P,0,5,5,12,10,10003,1,1|1
Foxtrot,2016-04-17 09:39:00,P,0,2016-04-17 09:44:00,P,0,5,5,12,10,10003,1,1|1
Echo,2016-04-17 09:56:00,P,0,2016-04-17 10:01:00,P,0,5,5,12,10,10003,1,1|1
Delta,2016-04-17 10:13:00,P,0,2016-04-17 10:18:00,P,0,5,5,12,10,10003,1,1|1
Charlie,2016-04-17 10:30:00,P,0,2016-04-17 10:35:00,P,0,5,5,12,10,10003,1,1|1
Bravo,2016-04-17 10:47:00,P,0,2016-04-17 10:52:00,P,0,5,5,12,10,10003,1,1|1
Alpha,2016-04-17 11:04:00,P,0,2016-04-17 11:09:00,P,0,5,5,0,0,10003,1,1|1
Alpha,2016-04-17 05:22:00,P,0,2016-04-17 05:27:00,P,0,5,5,12,10,10006,1,1|1
Bravo,2016-04-17 05:39:00,P,0,2016-04-17 05:44:00,P,0,5,5,12,10,10006,1,1|1
Charlie,2016-04-17 05:56:00,P,0,2016-04-17 06:01:00,P,0,5,5,12,10,10006,1,1|1
Delta,2016-04-17 06:13:00,P,0,2016-04-17 06:18:00,P,0,5,5,12,10,10006,1,1|1
Echo,2016-04-17 06:30:00,P,0,2016-04-17 06:35:00,P,0,5,5,12,10,10006,1,1|1
Foxtrot,2016-04-17 06:47:00,P,0,2016-04-17 06:52:00,P,0,5,5,12,10,10006,1,1|1
Golf,2016-04-17 07:04:00,P,0,2016-04-17 07:09:00,P,0,5,5,12,10,10006,1,1|1
Hotel,2016-04-17 07:21:00,P,0,2016-04-17 07:26:00,P,0,5,5,12,10,10006,1,1|1
India,2016-04-17 07:38:00,P,0,2016-04-17 07:43:00,P,0,5,5,12,10,10006,1,1|1
Juliet,2016-04-17 07:55:00,P,0,2016-04-17 08:00:00,P,0,5,5,12,10,10006,1,1|1
Kilo,2016-04-17 08:12:00,P,0,2016-04-17 08:17:00,P,0,5,5,0,0,10006,1,1|1
Alpha,2016-04-17 04:27:00,P,0,2016-04-17 04:32:00,P,0,5,5,12,10,10008,1,1|1
Bravo,2016-04-17 04:44:00,P,0,2016-04-17 04:49:00,P,0,5,5,12,10,10008,1,1|1
Charlie,2016-04-17 05:01:00,P,0,2016-04-17 05:06:00,P,0,5,5,12,10,10008,1,1|1
Delta,2016-04-17 05:18:00,P,0,2016-04-17 05:23:00,P,0,5,5,12,10,10008,1,1|1
Echo,2016-04-17 05:35:00,P,0,2016-04-17 05:40:00,P,0,5,5,12,10,10008,1,1|1
Foxtrot,2016-04-17 05:52:00,P,0,2016-04-17 05:57:00,P,0,5,5,12,10,10008,1,1|1
Golf,2016-04-17 06:09:00,P,0,2016-04-17 06:14:00,P,0,5,5,12,10,10008,1,1|1
Hotel,2016-04-17 06:26:00,P,0,2016-04-17 06:31:00,P,0,5,5,12,10,10008,1,1|1
India,2016-04-17 06:43:00,P,0,2016-04-17 06:48:00,P,0,5,5,12,10,10008,1,1|1
