Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
Kilo,2016-04-17 07:24:00,P,0,2016-04-17 07:29:00,P,0,5,5,12,10,10003,1,1|1
Juliet,2016-04-17 07:41:00,P,0,2016-04-17 07:46:00,P,0,5,5,12,10,10003,1,1|1
India,2016-04-17 07:58:00,P,0,2016-04-17 08:03:00,P,0,5,5,12,10,10003,1,1|1
Hotel,2016-04-17 08:15:00,P,0,2016-04-17 08:20:00,P,0,5,5,12,10,10003,1,1|1
Golf,2016-04-17 08:32:00,P,0,2016-04-17 08:37:00,P,0,5,5,12,10,10003,1,1|1
Foxtrot,2016-04-17 08:49:00,P,0,2016-04-17 08:54:00,P,0,5,5,12,10,10003,1,1|1
Echo,2016-04-17 09:06:00,P,0,2016-04-17 09:11:00,P,0,5,5,12,10,10003,1,1|1
Delta,2016-04-17 09:23:00,P,0,2016-04-17 09:28:00,P,0,5,5,12,10,10003,1,1|1
Charlie,2016-04-17 09:40:00,P,0,2016-04-17 09:45:00,P,0,5,5,12,10,10003,1,1|1
Bravo,2016-04-17 09:57:00,P,0,2016-04-17 10:02:00,P,0,5,5,12,10,10003,1,1|1
Alpha,2016-04-17 10:14:00,P,0,2016-04-17 10:19:00,P,0,5,5,0,0,10003,1,1|1
Alpha,2016-04-17 05:19:00,P,0,2016-04-17 05:24:00,P,0,5,5,12,10,10006,1,1|1
Bravo,2016-04-17 05:36:00,P,0,2016-04-17 05:41:00,P,0,5,5,12,10,10006,1,1|1
Charlie,2016-04-17 05:53:00,P,0,2016-04-17 05:58:00,P,0,5,5,12,10,10006,1,1|1
Delta,2016-04-17 06:10:00,P,0,2016-04-17 06:15:00,P,0,5,5,12,10,10006,1,1|1
Echo,2016-04-17 06:27:00,P,0,2016-04-17 06:32:00,P,0,5,5,12,10,10006,1,1|1
Foxtrot,2016-04-17 06:44:00,P,0,2016-04-17 06:49:00,P,0,5,5,12,10,10006,1,1|1
Golf,2016-04-17 07:01:00,P,0,2016-04-17 07:06:00,P,0,5,5,12,10,10006,1,1|1
Hotel,2016-04-17 07:18:00,P,0,2016-04-17 07:23:00,P,0,5,5,12,10,10006,1,1|1
India,2016-04-17 07:35:00,P,0,2016-04-17 07:40:00,P,0,5,5,12,10,10006,1,1|1
Juliet,2016-04-17 07:52:00,P,0,2016-04-17 07:57:00,P,0,5,5,12,10,10006,1,1|1
Kilo,2016-04-17 08:09:00,P,0,2016-04-17 08:14:00,P,0,5,5,0,0,10006,1,1|1
Alpha,2016-04-17 04:59:00,P,0,2016-04-17 05:04:00,P,0,5,5,12,10,10008,1,1|1
Bravo,2016-04-17 05:16:00,P,0,2016-04-17 05:21:00,P,0,5,5,12,10,10008,1,1|1
Charlie,2016-04-17 05:33:00,P,0,2016-04-17 05:38:00,P,0,5,5,12,10,10008,1,1|1
Delta,2016-04-17 05:50:00,P,0,2016-04-17 05:55:00,P,0,5,5,12,10,10008,1,1|1
Echo,2016-04-17 06:07:00,P,0,2016-04-17 06:12:00,P,0,5,5,12,10,10008,1,1|1
Foxtrot,2016-04-17 06:24:00,P,0,2016-04-17 06:29:00,P,0,5,5,12,10,10008,1,1|1
Golf,2016-04-17 06:41:00,P,0,2016-04-17 06:46:00,P,0,5,5,12,10,10008,1,1|1
Hotel,2016-04-17 06:58:00,P,0,2016-04-17 07:03:00,P,0,5,5,12,10,10008,1,1|1
India,2016-04-17 07:15:00,P,0,2016-04-17 07:20:00,P,0,5,5,12,10,10008,1,1|1
Juliet,2016-04-17 07:32:00,P,0,2016-04-17 07:37:00,P,0,5,5,12,10,10008,1,1|1
Kilo,2016-04-17 07:49:00,P,0,2016-04-17 07:54:00,P,0,5,5,0,0,10008,1,1|1
Kilo,2016-04-16 08:11:00,P,0,2016-04-16 08:16:00,P,0,5,5,12,10,10009,1,1|1
Juliet,2016-04-16 08:28:00,P,0,2016-04-16 08:33:00,P,0,5,5,12,10,10009,1,1|1
India,2016-04-16 08:45:00,P,0,2016-04-16 08:50:00,P,0,5,5,12,10,10009,1,1|1
Hotel,2016-04-16 09:02:00,P,0,2016-04-16 09:07:00,P,0,5,5,12,10,10009,1,1|1
Golf,2016-04-16 09:19:00,P,0,2016-04-16 09:24:00,P,0,5,5,12,10,10009,1,1|1
Foxtrot,2016-04-16 09:36:00,P,0,2016-04-16 09:41:00,P,0,5,5,12,10,10009,1,1|1
Echo,2016-04-16 09:53:00,P,0,2016-04-16 09:58:00,P,0,5,5,12,10,10009,1,1|1
Delta,2016-04-16 10:10:00,P,0,2016-04-16 10:15:00,P,0,5,5,12,10,10009,1,1|1
Charlie,2016-04-16 10:27:00,P,0,2016-04-16 10:32:00,P,0,5,5,12,10,10009,1,1|1
Bravo,2016-04-16 10:44:00,P,0,2016-04-16 10:49:00,P,0,5,5,12,10,10009,1,1|1
Alpha,2016-04-16 11:01:00,P,0,2016-04-16 11:06:00,P,0,5,5,0,0,10009,1,1|1
Alpha,2016-04-16 20:43:00,P,0,2016-04-16 20:48:00,P,0,5,5,12,10,10012,1,1|1
Bravo,2016-04-16 21:00:00,P,0,2016-04-16 21:05:00,P,0,5,5,12,10,10012,1,1|1
Charlie,2016-04-16 21:17:00,P,0,2016-04-16 21:22:00,P,0,5,5,12,10,10012,1,1|1
Delta,2016-04-16 21:34:00,P,0,2016-04-16 21:39:00,P,0,5,5,12,10,10012,1,1|1
Echo,2016-04-16 21:51:00,P,0,2016-04-16 21:56:00,P,0,5,5,12,10,10012,1,1|1
Foxtrot,2016-04-16 22:08:00,P,0,2016-04-16 22:13:00,P,0,5,5,12,10,10012,1,1|1
Golf,2016-04-16 22:25:00,P,0,2016-04-16 22:30:00,P,0,5,5,12,10,10012,1,1|1
Hotel,2016-04-16 22:42:00,P,0,2016-04-16 22:47:00,P,0,5,5,12,10,10012,1,1|1
India,2016-04-16 22:59:00,P,0,2016-04-16 23:04:00,P,0,5,5,12,10,10012,1,1|1
Juliet,2016-04-16 23:16:00,P,0,2016-04-16 23:21:00,P,0,5,5,12,10,10012,1,1|1
Kilo,2016-04-16 23:33:00,P,0,2016-04-16 23:38:00,P,0,5,5,0,0,10012,1,1|1
Kilo,2016-04-17 01:12:00,P,0,2016-04-17 01:17:00,P,0,5,5,12,10,10013,1,1|1
Juliet,2016-04-17 01:29:00,P,0,2016-04-17 01:34:00,P,0,5,5,12,10,10013,1,1|1
India,2016-04-17 01:46:00,P,0,2016-04-17 01:51:00,P,0,5,5,12,10,10013,1,1|1
Hotel,2016-04-17 02:03:00,P,0,2016-04-17 02:08:00,P,0,5,5,12,10,10013,1,1|1
Golf,2016-04-17 02:20:00,P,0,2016-04-17 02:25:00,P,0,5,5,12,10,10013,1,1|1
Foxtrot,2016-04-17 02:37:00,P,0,2016-04-17 02:42:00,P,0,5,5,12,10,10013,1,1|1
Echo,2016-04-17 02:54:00,P,0,2016-04-17 02:59:00,P,0,5,5,12,10,10013,1,1|1
