Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
E,2023-03-01 00:15:01,P,0,2023-03-01 00:20:01,P,0,5,4,5,4,10001,1,1|1
C,2023-03-01 00:25:01,P,0,2023-03-01 00:34:01,P,0,9,4,5,4,10001,1,1|1
B,2023-03-01 00:39:01,P,0,2023-03-01 00:48:01,P,0,9,4,5,4,10001,1,1|1
A,2023-03-01 00:53:01,P,0,2023-03-01 00:59:01,P,0,6,4,5,4,10001,1,1|1
D,2023-03-01 00:15:01,P,0,2023-03-01 00:20:01,P,0,5,4,5,4,10002,1,1|1
C,2023-03-01 00:27:01,P,0,2023-03-01 00:38:01,P,0,11,4,7,4,10002,1,1|1
B,2023-03-01 00:45:01,P,0,2023-03-01 00:52:01,P,0,7,4,7,4,10002,1,1|1
F,2023-03-01 00:59:01,P,0,2023-03-01 01:05:01,P,0,6,4,7,4,10002,1,1|1
E,2023-03-01 00:15:01,P,0,2023-03-01 00:20:01,P,0,5,4,5,4,10003,1,1|1
C,2023-03-01 00:27:01,P,0,2023-03-01 00:39:01,P,0,12,4,7,4,10003,1,1|1
B,2023-03-01 00:44:01,P,0,2023-03-01 00:50:01,P,0,6,4,5,4,10003,1,1|1
F,2023-03-01 00:55:01,P,0,2023-03-01 01:02:01,P,0,7,4,5,4,10003,1,1|1
E,2023-03-01 00:15:01,P,0,2023-03-01 00:20:01,P,0,5,4,5,4,10004,1,1|1
C,2023-03-01 00:25:01,P,0,2023-03-01 00:34:01,P,0,9,4,5,4,10004,1,1|1
B,2023-03-01 00:40:01,P,0,2023-03-01 00:47:01,P,0,7,4,6,4,10004,1,1|1
A,2023-03-01 00:53:01,P,0,2023-03-01 00:59:01,P,0,6,4,6,4,10004,1,1|1
A,2023-03-01 00:15:01,P,0,2023-03-01 00:20:01,P,0,5,4,5,4,10005,1,1|1
B,2023-03-01 00:27:01,P,0,2023-03-01 00:37:01,P,0,10,4,7,4,10005,1,1|1
C,2023-03-01 00:44:01,P,0,2023-03-01 00:53:01,P,0,9,4,7,4,10005,1,1|1
E,2023-03-01 00:58:01,P,0,2023-03-01 01:06:01,P,0,8,4,5,4,10005,1,1|1
E,2023-03-01 00:15:01,P,0,2023-03-01 00:20:01,P,0,5,4,5,4,10006,1,1|1
C,2023-03-01 00:25:01,P,0,2023-03-01 00:36:01,P,0,11,4,5,4,10006,1,1|1
B,2023-03-01 00:43:01,P,0,2023-03-01 00:53:01,P,0,10,4,7,4,10006,1,1|1
F,2023-03-01 00:57:01,P,0,2023-03-01 01:09:01,P,0,12,4,4,4,10006,1,1|1
