Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
C,2024-01-11 00:15:40,P,0,2024-01-11 00:20:40,P,0,5,4,5,4,10001,1,1|1
D,2024-01-11 00:28:40,P,0,2024-01-11 00:40:40,P,0,12,4,8,4,10001,1,1|1
B,2024-01-11 00:15:40,P,0,2024-01-11 00:20:40,P,0,5,4,5,4,10002,1,1|1
C,2024-01-11 00:31:40,P,0,2024-01-11 00:44:40,P,0,13,4,11,4,10002,1,1|1
E,2024-01-11 00:55:40,P,0,2024-01-11 01:10:40,P,0,15,4,11,4,10002,1,1|1
F,2024-01-11 00:15:40,P,0,2024-01-11 00:20:40,P,0,5,4,5,4,10003,1,1|1
B,2024-01-11 00:33:40,P,0,2024-01-11 00:44:40,P,0,11,4,13,4,10003,1,1|1
C,2024-01-11 00:49:40,P,0,2024-01-11 00:57:40,P,0,8,4,5,4,10003,1,1|1
D,2024-01-11 01:05:40,P,0,2024-01-11 01:18:40,P,0,13,4,8,4,10003,1,1|1
F,2024-01-11 00:15:40,P,0,2024-01-11 00:20:40,P,0,5,4,5,4,10004,1,1|1
B,2024-01-11 00:24:40,P,0,2024-01-11 00:32:40,P,0,8,4,4,4,10004,1,1|1
C,2024-01-11 00:36:40,P,0,2024-01-11 00:47:40,P,0,11,4,4,4,10004,1,1|1
D,2024-01-11 00:58:40,P,0,2024-01-11 01:06:40,P,0,8,4,11,4,10004,1,1|1
B,2024-01-11 00:15:40,P,0,2024-01-11 00:20:40,P,0,5,4,5,4,10005,1,1|1
C,2024-01-11 00:30:40,P,0,2024-01-11 00:43:40,P,0,13,4,10,4,10005,1,1|1
E,2024-01-11 00:51:40,P,0,2024-01-11 01:00:40,P,0,9,4,8,4,10005,1,1|1
F,2024-01-11 00:15:40,P,0,2024-01-11 00:20:40,P,0,5,4,5,4,10006,1,1|1
B,2024-01-11 00:27:40,P,0,2024-01-11 00:39:40,P,0,12,4,7,4,10006,1,1|1
C,2024-01-11 00:43:40,P,0,2024-01-11 00:55:40,P,0,12,4,4,4,10006,1,1|1
D,2024-01-11 00:59:40,P,0,2024-01-11 01:14:40,P,0,15,4,4,4,10006,1,1|1
