Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
A,2024-01-11 00:15:31,P,0,2024-01-11 00:20:31,P,0,5,4,5,4,10001,1,1|1
B,2024-01-11 00:27:31,P,0,2024-01-11 00:34:31,P,0,7,4,7,4,10001,1,1|1
F,2024-01-11 00:42:31,P,0,2024-01-11 00:53:31,P,0,11,4,8,4,10001,1,1|1
E,2024-01-11 00:15:31,P,0,2024-01-11 00:20:31,P,0,5,4,5,4,10002,1,1|1
C,2024-01-11 00:27:31,P,0,2024-01-11 00:40:31,P,0,13,4,7,4,10002,1,1|1
B,2024-01-11 00:48:31,P,0,2024-01-11 01:01:31,P,0,13,4,8,4,10002,1,1|1
A,2024-01-11 01:14:31,P,0,2024-01-11 01:22:31,P,0,8,4,13,4,10002,1,1|1
E,2024-01-11 00:15:31,P,0,2024-01-11 00:20:31,P,0,5,4,5,4,10003,1,1|1
C,2024-01-11 00:25:31,P,0,2024-01-11 00:32:31,P,0,7,4,5,4,10003,1,1|1
B,2024-01-11 00:42:31,P,0,2024-01-11 00:54:31,P,0,12,4,10,4,10003,1,1|1
A,2024-01-11 01:06:31,P,0,2024-01-11 01:17:31,P,0,11,4,12,4,10003,1,1|1
C,2024-01-11 00:15:31,P,0,2024-01-11 00:20:31,P,0,5,4,5,4,10004,1,1|1
D,2024-01-11 00:25:31,P,0,2024-01-11 00:35:31,P,0,10,4,5,4,10004,1,1|1
F,2024-01-11 00:15:31,P,0,2024-01-11 00:20:31,P,0,5,4,5,4,10005,1,1|1
B,2024-01-11 00:32:31,P,0,2024-01-11 00:47:31,P,0,15,4,12,4,10005,1,1|1
A,2024-01-11 00:55:31,P,0,2024-01-11 01:08:31,P,0,13,4,8,4,10005,1,1|1
C,2024-01-11 00:15:31,P,0,2024-01-11 00:20:31,P,0,5,4,5,4,10006,1,1|1
D,2024-01-11 00:32:31,P,0,2024-01-11 00:41:31,P,0,9,4,12,4,10006,1,1|1
