Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
C,2023-06-14 00:15:32,P,0,2023-06-14 00:20:32,P,0,5,4,5,4,10001,1,1|1
B,2023-06-14 00:24:32,P,0,2023-06-14 00:31:32,P,0,7,4,4,4,10001,1,1|1
A,2023-06-14 00:35:32,P,0,2023-06-14 00:43:32,P,0,8,4,4,4,10001,1,1|1
A,2023-06-14 00:15:32,P,0,2023-06-14 00:20:32,P,0,5,4,5,4,10002,1,1|1
B,2023-06-14 00:25:32,P,0,2023-06-14 00:35:32,P,0,10,4,5,4,10002,1,1|1
C,2023-06-14 00:41:32,P,0,2023-06-14 00:51:32,P,0,10,4,6,4,10002,1,1|1
D,2023-06-14 00:55:32,P,0,2023-06-14 01:03:32,P,0,8,4,4,4,10002,1,1|1
C,2023-06-14 00:15:32,P,0,2023-06-14 00:20:32,P,0,5,4,5,4,10003,1,1|1
B,2023-06-14 00:27:32,P,0,2023-06-14 00:38:32,P,0,11,4,7,4,10003,1,1|1
A,2023-06-14 00:42:32,P,0,2023-06-14 00:49:32,P,0,7,4,4,4,10003,1,1|1
C,2023-06-14 00:15:32,P,0,2023-06-14 00:20:32,P,0,5,4,5,4,10004,1,1|1
B,2023-06-14 00:26:32,P,0,2023-06-14 00:38:32,P,0,12,4,6,4,10004,1,1|1
A,2023-06-14 00:42:32,P,0,2023-06-14 00:54:32,P,0,12,4,4,4,10004,1,1|1
D,2023-06-14 00:15:32,P,0,2023-06-14 00:20:32,P,0,5,4,5,4,10005,1,1|1
C,2023-06-14 00:24:32,P,0,2023-06-14 00:33:32,P,0,9,4,4,4,10005,1,1|1
B,2023-06-14 00:39:32,P,0,2023-06-14 00:47:32,P,0,8,4,6,4,10005,1,1|1
A,2023-06-14 00:52:32,P,0,2023-06-14 01:01:32,P,0,9,4,5,4,10005,1,1|1
C,2023-06-14 00:15:32,P,0,2023-06-14 00:20:32,P,0,5,4,5,4,10006,1,1|1
B,2023-06-14 00:27:32,P,0,2023-06-14 00:37:32,P,0,10,4,7,4,10006,1,1|1
A,2023-06-14 00:41:32,P,0,2023-06-14 00:50:32,P,0,9,4,4,4,10006,1,1|1
A,2023-06-14 00:15:32,P,0,2023-06-14 00:20:32,P,0,5,4,5,4,10007,1,1|1
B,2023-06-14 00:27:32,P,0,2023-06-14 00:34:32,P,0,7,4,7,4,10007,1,1|1
C,2023-06-14 00:40:32,P,0,2023-06-14 00:48:32,P,0,8,4,6,4,10007,1,1|1
D,2023-06-14 00:54:32,P,0,2023-06-14 01:02:32,P,0,8,4,6,4,10007,1,1|1
D,2023-06-14 00:15:32,P,0,2023-06-14 00:20:32,P,0,5,4,5,4,10008,1,1|1
C,2023-06-14 00:26:32,P,0,2023-06-14 00:38:32,P,0,12,4,6,4,10008,1,1|1
